Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against
North District Sports Association 1,22,20,2,105,85,25
Alpha CUHK,22,17,5,99,82,28
South China Athletic Association,22,17,5,90,73,37
Sea Bear,22,15,7,90,75,35
Winter Warriors,22,15,7,89,74,36
Hong Kong Football Club 12A,22,15,7,78,63,47
ZOMA,22,9,13,59,50,60
Star River 2,22,8,14,51,43,67
Hong Kong Football Club 12B,22,7,15,47,41,69
Hong Kong Racketlon Assoication 2,22,5,17,28,29,81
CSD Squash Team,22,2,20,19,21,89
Latecomers,22,2,20,17,24,86
