Home Team,Away Team,Venue,Match Week,Date,Overall Score,Rubbers,Home Score,Away Score,Home Games Won,Away Games Won,VenueType,Winner Rubber 1,Winner Rubber 2,Winner Rubber 3,Winner Rubber 4,Winner Rubber 5
HKIS Div 13,Bravo D13,Java Road Sports Centre,1,03/10/2025,4-1,"['0-3', '3-0', '3-0', '3-0', 'CR']",4,1,12,3,neutral,Bravo D13,HKIS Div 13,HKIS Div 13,HKIS Div 13,
JSA 1,i-Mask Advance Squash Club 7,HK Squash Centre,1,03/10/2025,2-3,"['3-0', '0-3', '3-0', 'CR', 'CR']",2,3,6,9,home,JSA 1,i-Mask Advance Squash Club 7,JSA 1,,
i-Mask Advance Squash Club 6,NEXUS 3,Java Road Sports Centre,1,03/10/2025,5-0,"['CR', 'CR', 'CR', 'CR', 'CR']",5,0,15,0,neutral,,,,,
Smart Squash 2,Smart Squash 3,Cornwall Street Squash Centre,1,03/10/2025,4-1,"['3-1', '3-2', '0-3', '3-1', '3-0']",4,1,12,7,shared_home,Smart Squash 2,Smart Squash 2,Smart Squash 3,Smart Squash 2,Smart Squash 2
Bravo D13,JSA 1,Yuen Long Jockey Club Squash Courts,2,10/10/2025,1-4,"['3-1', '0-3', '0-3', 'CR', 'CR']",1,4,3,13,home,Bravo D13,JSA 1,JSA 1,,
Smart Squash 2,Vitality Squash 2,Cornwall Street Squash Centre,2,10/10/2025,3-2,"['0-3', '0-3', 'CR', 'CR', 'CR']",3,2,9,6,home,Vitality Squash 2,Vitality Squash 2,,,
HKIS Div 13,NEXUS 3,HK Squash Centre,2,10/10/2025,5-0,"['CR', 'CR', 'CR', 'CR', 'CR']",5,0,15,0,home,,,,,
i-Mask Advance Squash Club 6,i-Mask Advance Squash Club 7,HK Squash Centre,2,10/10/2025,4-1,"['1-3', '3-0', '3-0', '3-0', '3-0']",4,1,13,3,home,i-Mask Advance Squash Club 7,i-Mask Advance Squash Club 6,i-Mask Advance Squash Club 6,i-Mask Advance Squash Club 6,i-Mask Advance Squash Club 6
i-Mask Advance Squash Club 6,Smart Squash 3,HK Squash Centre,3,17/10/2025,3-2,"['3-0', '3-0', '0-3', '3-0', '0-3']",3,2,9,6,home,i-Mask Advance Squash Club 6,i-Mask Advance Squash Club 6,Smart Squash 3,i-Mask Advance Squash Club 6,Smart Squash 3
Vitality Squash 2,JSA 1,HK Squash Centre,3,17/10/2025,2-3,"['2-3', '0-3', '0-3', 'CR', 'CR']",2,3,2,15,shared_home,JSA 1,JSA 1,JSA 1,,
HKIS Div 13,Smart Squash 2,Harbour Road Sports Centre,3,17/10/2025,3-2,"['0-3', '0-3', 'WO', 'WO', 'WO']",3,2,9,6,neutral,Smart Squash 2,Smart Squash 2,,,
NEXUS 3,i-Mask Advance Squash Club 7,Cornwall Street Squash Centre,3,17/10/2025,3-2,"['2-3', '1-3', '3-2', 'CR', 'CR']",3,2,12,8,shared_home,i-Mask Advance Squash Club 7,i-Mask Advance Squash Club 7,NEXUS 3,,
