Team,Played,Won,Lost,Points,CRs Given,CRs Received,WOs Given,WOs Received,Rubbers For,Rubbers Against
Global Squash 2,12,11,1,60,0,10,0,0,49,11
Hong Kong Football Club 16,12,10,2,55,0,7,0,0,45,15
Hong Kong Racketlon Association 2,12,10,2,52,0,8,0,0,42,18
Winter Warriors,12,9,3,52,2,6,1,3,44,16
South China Athletic Association,12,7,5,45,0,5,0,3,38,22
Sha Tin Squash Rackets Club 5,12,6,6,40,0,8,0,1,34,26
PSC,12,5,7,34,6,4,0,1,29,31
Kinetic 4,12,6,6,33,0,8,0,1,27,33
MASS,12,4,8,25,2,11,1,0,21,39
Craigengower Cricket Club,12,3,9,16,31,0,0,0,13,47
Latecomers,12,1,11,12,1,5,3,1,15,45
CSD,12,0,12,-2,30,0,5,0,3,57
