Home Team,Away Team,Venue,Match Week,Date
Hong Kong Cricket Club 1,Hong Kong Football Club 1B,Hong Kong Cricket Club,7,2025-01-23
FWD,Kowloon Cricket Club 1B,HK Squash Centre,7,2025-01-23
Kowloon Cricket Club 1A,Hong Kong Football Club 1A,Kowloon Cricket Club,7,2025-01-23
Hong Kong Football Club 1B,Kowloon Cricket Club 1A,Hong Kong Football Club,8,2025-02-20
Hong Kong Football Club 1A,FWD,Hong Kong Football Club,8,2025-02-20
Kowloon Cricket Club 1B,Hong Kong Cricket Club 1,Kowloon Cricket Club,8,2025-02-20
Kowloon Cricket Club 1B,Hong Kong Football Club 1B,Kowloon Cricket Club,9,2025-02-27
Hong Kong Football Club 1A,Hong Kong Cricket Club 1,Hong Kong Football Club,9,2025-02-27
FWD,Kowloon Cricket Club 1A,HK Squash Centre,9,2025-02-27
FWD,Hong Kong Football Club 1B,HK Squash Centre,10,2025-03-06
Kowloon Cricket Club 1A,Hong Kong Cricket Club 1,Kowloon Cricket Club,10,2025-03-06
Hong Kong Football Club 1A,Kowloon Cricket Club 1B,Hong Kong Football Club,10,2025-03-06
