Home Team,Away Team,Venue,Match Week,Date,Overall Score,Rubbers,Home Score,Away Score,Home Games Won,Away Games Won,Winner Rubber 1,Winner Rubber 2,Winner Rubber 3
FWD,Hong Kong Cricket Club 1,HK Squash Centre,1,10/10/2024,1-2,"['0-3', '3-0', '0-3']",1,2,3,6,Hong Kong Cricket Club 1,FWD,Hong Kong Cricket Club 1
Hong Kong Football Club 1A,Hong Kong Football Club 1B,Hong Kong Football Club,1,10/10/2024,2-1,"['1-3', '3-1', '3-0']",2,1,7,4,Hong Kong Football Club 1B,Hong Kong Football Club 1A,Hong Kong Football Club 1A
Kowloon Cricket Club 1A,Kowloon Cricket Club 1B,Kowloon Cricket Club,1,10/10/2024,3-0,"['3-1', '3-0', '3-0']",3,0,9,1,Kowloon Cricket Club 1A,Kowloon Cricket Club 1A,Kowloon Cricket Club 1A
Hong Kong Football Club 1B,Hong Kong Cricket Club 1,Hong Kong Football Club,2,17/10/2024,1-2,"['3-0', '0-3', '0-3']",1,2,3,6,Hong Kong Football Club 1B,Hong Kong Cricket Club 1,Hong Kong Cricket Club 1
Kowloon Cricket Club 1B,FWD,Kowloon Cricket Club,2,17/10/2024,0-3,"['1-3', '0-3', '2-3']",0,3,3,9,FWD,FWD,FWD
Hong Kong Football Club 1A,Kowloon Cricket Club 1A,Hong Kong Football Club,2,17/10/2024,1-2,"['3-1', '0-3', '1-3']",1,2,4,7,Hong Kong Football Club 1A,Kowloon Cricket Club 1A,Kowloon Cricket Club 1A
Kowloon Cricket Club 1A,Hong Kong Football Club 1B,Kowloon Cricket Club,3,24/10/2024,2-1,"['0-3', '3-0', '3-1']",2,1,6,4,Hong Kong Football Club 1B,Kowloon Cricket Club 1A,Kowloon Cricket Club 1A
FWD,Hong Kong Football Club 1A,HK Squash Centre,3,24/10/2024,1-2,"['0-3', '3-0', '0-3']",1,2,3,6,Hong Kong Football Club 1A,FWD,Hong Kong Football Club 1A
Hong Kong Cricket Club 1,Kowloon Cricket Club 1B,Hong Kong Cricket Club,3,24/10/2024,2-1,"['3-0', '3-0', '2-3']",2,1,8,3,Hong Kong Cricket Club 1,Hong Kong Cricket Club 1,Kowloon Cricket Club 1B
Hong Kong Football Club 1B,Kowloon Cricket Club 1B,Hong Kong Football Club,4,21/11/2024,2-1,"['0-3', '3-0', '3-0']",2,1,6,3,Kowloon Cricket Club 1B,Hong Kong Football Club 1B,Hong Kong Football Club 1B
Hong Kong Cricket Club 1,Hong Kong Football Club 1A,Hong Kong Cricket Club,4,21/11/2024,2-1,"['3-0', '3-0', '1-3']",2,1,7,3,Hong Kong Cricket Club 1,Hong Kong Cricket Club 1,Hong Kong Football Club 1A
Kowloon Cricket Club 1A,FWD,Kowloon Cricket Club,4,21/11/2024,3-0,"['3-0', '3-0', '3-1']",3,0,9,1,Kowloon Cricket Club 1A,Kowloon Cricket Club 1A,Kowloon Cricket Club 1A
